SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
76034,-122.32722382,47.6050118,7TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,6,First Hill
35881,-122.34168272,47.62632754,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,15,South Lake Union
31297,-122.32906872,47.61018833,9TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,4,First Hill
11869,-122.32377268,47.60941799,MINOR AVE BETWEEN MARION ST AND MADISON ST,SW,5,First Hill
8393,-122.3399421,47.61756589,8TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,2,Denny Triangle
134101,-122.3201168,47.6169807,NAGLE PL BETWEEN E OLIVE ST AND E HOWELL ST,W,11,Capitol Hill
11882,-122.33286288,47.61908923,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,E,13,South Lake Union
8618,-122.33503151,47.61604516,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,NE,2,Denny Triangle
12685,-122.32969155,47.62515553,ROY ST BETWEEN DEAD END AND EASTLAKE AVE E,N,8,South Lake Union
76718,-122.3416596,47.6270675,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,8,South Lake Union
80894,-122.33392949,47.61590837,STEWART ST BETWEEN 9TH AVE AND TERRY AVE,SE,5,Denny Triangle
10054,-122.34221647,47.62263094,DEXTER AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,5,South Lake Union
12885,-122.33321852,47.61665383,STEWART ST BETWEEN TERRY AVE AND BOREN AVE,NW,5,Denny Triangle
81133,-122.33104579,47.62088727,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,N,6,South Lake Union
9477,-122.3210662,47.62467789,BROADWAY E BETWEEN E MERCER ST AND E ROY E ST,W,8,Capitol Hill
76033,-122.32739887,47.60497388,7TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,8,First Hill
55449,-122.32927427,47.62252079,EASTLAKE AVE E BETWEEN HARRISON ST AND REPUBLICAN ST,W,11,South Lake Union
8001,-122.33904518,47.61470705,6TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,10,Denny Triangle
58646,-122.33351256,47.61799607,VIRGINIA ST BETWEEN BOREN AVE AND MINOR AVE,SE,3,Denny Triangle
35749,-122.33236774,47.62088111,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,N,7,South Lake Union
57874,-122.32979127,47.62308945,REPUBLICAN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,8,South Lake Union
60182,-122.32156166,47.62102996,E THOMAS ST BETWEEN HARVARD AVE E AND BROADWAY E,S,5,Capitol Hill
33993,-122.33584596,47.61819376,LENORA ST BETWEEN TERRY AVE AND BOREN AVE,NW,7,Denny Triangle
32054,-122.32437474,47.61582123,BELMONT AVE BETWEEN E PINE ST AND E OLIVE ST,E,19,Capitol Hill
56074,-122.33912682,47.6219615,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,6,South Lake Union
53805,-122.33644763,47.61672619,9TH AVE BETWEEN VIRGINIA ST AND LENORA ST,SW,6,Denny Triangle
35886,-122.33788753,47.62564186,VALLEY ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,6,South Lake Union
35501,-122.32523539,47.61034248,SPRING ST BETWEEN BOREN AVE AND MINOR AVE,NW,7,First Hill
56353,-122.34169801,47.61980198,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,6,South Lake Union
57269,-122.32012756,47.6181567,NAGLE PL BETWEEN E HOWELL ST AND E DENNY WAY,W,5,Capitol Hill
54741,-122.32141642,47.62597214,BROADWAY E BETWEEN E ROY W ST AND E ALOHA ST,W,6,Capitol Hill
58222,-122.33566247,47.61456869,STEWART ST BETWEEN 7TH AVE AND 8TH AVE,SE,4,Denny Triangle
55641,-122.33443905,47.62261088,FAIRVIEW AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,15,South Lake Union
80889,-122.33493627,47.61534249,STEWART ST BETWEEN 8TH AVE AND 9TH AVE,NW,4,Denny Triangle
8617,-122.33514821,47.61596122,9TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,4,Denny Triangle
12546,-122.33511002,47.62313865,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,S,7,South Lake Union
77562,-122.32255557,47.60739467,CHERRY ST BETWEEN BOREN AVE AND MINOR AVE,SE,11,First Hill
54737,-122.32104278,47.62369682,BROADWAY E BETWEEN E REPUBLICAN ST AND E MERCER ST,W,15,Capitol Hill
53433,-122.3408143,47.61689804,7TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,10,Denny Triangle
79025,-122.3390879,47.61977637,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,N,3,South Lake Union
33994,-122.3356497,47.61810045,LENORA ST BETWEEN TERRY AVE AND BOREN AVE,SE,10,Denny Triangle
8005,-122.34032614,47.6154538,6TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,8,Denny Triangle
78937,-122.33105726,47.61655931,HOWELL ST BETWEEN BOREN AVE AND MINOR AVE,NW,5,Denny Triangle
36138,-122.33780668,47.61585223,WESTLAKE AVE BETWEEN 7TH AVE AND 8TH AVE,E,8,Denny Triangle
79658,-122.32827966,47.60696067,MARION ST BETWEEN 7TH AVE AND 8TH AVE,SE,8,First Hill
1589,-122.31696537,47.61587879,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,10,Capitol Hill
13093,-122.32872707,47.61148793,TERRY AVE BETWEEN UNIVERSITY ST AND UNION ST,SW,10,First Hill
81205,-122.32548222,47.61222854,UNIVERSITY ST BETWEEN MINOR AVE AND SUMMIT AVE,NW,8,First Hill
1590,-122.31676244,47.61586659,12TH AVE BETWEEN E PINE ST AND E OLIVE ST,E,9,Capitol Hill
130799,-122.33777132,47.6247452,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,6,South Lake Union
54074,-122.33162869,47.62680437,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,S,9,South Lake Union
34881,-122.33182921,47.62139227,PONTIUS AVE N BETWEEN THOMAS ST AND HARRISON ST,W,12,South Lake Union
76201,-122.34117019,47.62265882,8TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,7,South Lake Union
77993,-122.34240192,47.63099759,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,W,9,South Lake Union
79886,-122.3263733,47.61247157,MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST,NE,8,First Hill
36141,-122.33832365,47.61711289,WESTLAKE AVE BETWEEN LENORA ST AND BLANCHARD ST,W,8,Denny Triangle
81685,-122.33040332,47.61784105,YALE AVE BETWEEN HOWELL ST AND STEWART ST,SW,5,Denny Triangle
77265,-122.33599288,47.61912646,BOREN AVE N BETWEEN DENNY WAY AND JOHN ST,W,7,South Lake Union
54733,-122.32100027,47.62152987,BROADWAY E BETWEEN E THOMAS ST AND E HARRISON ST,W,11,Capitol Hill
8249,-122.33687047,47.6146276,7TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,2,Denny Triangle
76198,-122.34098397,47.62032487,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,E,3,South Lake Union
59246,-122.31892184,47.61871263,E DENNY WAY BETWEEN 10TH AVE E AND 11TH AVE,S,9,Capitol Hill
79362,-122.33913495,47.6154348,LENORA ST BETWEEN 6TH AVE AND 7TH AVE,SE,3,Denny Triangle
10886,-122.32203862,47.61584917,HARVARD AVE BETWEEN E PINE ST AND E OLIVE ST,E,12,Capitol Hill
13550,-122.33833669,47.62027694,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,E,10,South Lake Union
35829,-122.3265659,47.61178165,UNIVERSITY ST BETWEEN BOREN AVE AND MINOR AVE,NW,5,First Hill
13313,-122.3370847,47.61544257,VIRGINIA ST BETWEEN 7TH AVE AND 8TH AVE,NW,3,Denny Triangle
12541,-122.33778176,47.62326711,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,2,South Lake Union
8626,-122.33958113,47.62609289,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,E,5,South Lake Union
79041,-122.3297911,47.61975161,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,N,8,South Lake Union
35717,-122.32207604,47.60422151,TERRY AVE BETWEEN ALDER ST AND TERRACE ST,SW,7,First Hill
32258,-122.32064833,47.60984775,BROADWAY BETWEEN BOYLSTON AVE AND MARION ST,E,3,First Hill
76414,-122.32761973,47.60882741,9TH AVE BETWEEN MADISON ST AND SPRING ST,NE,7,First Hill
80742,-122.3269907,47.61045314,SENECA ST BETWEEN TERRY AVE AND BOREN AVE,SE,9,First Hill
58225,-122.3323523,47.61732776,STEWART ST BETWEEN BOREN AVE AND MINOR AVE,NW,7,Denny Triangle
58085,-122.32591296,47.61107791,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,NW,3,First Hill
54729,-122.32093008,47.615854,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST,W,9,Capitol Hill
11782,-122.33659908,47.62447169,MERCER SR ST BETWEEN TERRY AVE N AND BOREN AVE N,S,4,South Lake Union
35526,-122.33652911,47.61390233,STEWART ST BETWEEN 6TH AVE AND 7TH AVE,SE,4,Denny Triangle
33146,-122.33419944,47.62024125,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,E,13,South Lake Union
80841,-122.32303774,47.61126475,SPRING ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,NW,6,First Hill
55453,-122.32681868,47.63134595,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,NW,22,South Lake Union
9478,-122.32083146,47.62464606,BROADWAY E BETWEEN E MERCER ST AND E ROY E ST,E,4,Capitol Hill
58193,-122.32643589,47.6098468,SPRING ST BETWEEN TERRY AVE AND BOREN AVE,NW,4,First Hill
35733,-122.33727883,47.61911578,TERRY AVE N BETWEEN DENNY WAY AND JOHN ST,W,9,South Lake Union
35890,-122.33166834,47.62591864,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,S,9,South Lake Union
58421,-122.33726857,47.62262366,TERRY AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,10,South Lake Union
32914,-122.34217596,47.63181807,DEXTER AVE N BETWEEN LEE ST AND GALER ST,E,11,South Lake Union
81242,-122.33666877,47.62564256,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,S,6,South Lake Union
35202,-122.33110643,47.62305276,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,7,South Lake Union
56246,-122.32995858,47.6121682,HUBBELL PL BETWEEN 9TH AVE AND PIKE ST,E,10,First Hill
78781,-122.34302665,47.62214055,HARRISON ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,6,South Lake Union
79890,-122.33001488,47.61645359,MINOR AVE BETWEEN OLIVE WAY AND HOWELL ST,NE,7,Denny Triangle
80946,-122.32382655,47.61137505,SUMMIT AVE BETWEEN SPRING ST AND SENECA ST,NE,6,First Hill
94602,-122.33364771,47.6267583,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,SE,28,South Lake Union
81130,-122.34170543,47.62080932,THOMAS ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,8,South Lake Union
10877,-122.32181013,47.61228667,HARVARD AVE BETWEEN SPRING ST AND SENECA ST,SW,7,First Hill
59166,-122.32002768,47.60799308,E CHERRY ST BETWEEN BROADWAY AND DEAD END,S,3,First Hill
11881,-122.33309008,47.61911051,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,W,7,South Lake Union
53125,-122.34164254,47.61624342,6TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,11,Denny Triangle
9461,-122.32092724,47.61694964,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,W,12,Capitol Hill
13261,-122.34289167,47.62631903,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,7,South Lake Union
58413,-122.32599167,47.6084865,TERRY AVE BETWEEN MARION ST AND MADISON ST,SW,3,First Hill
13798,-122.3304927,47.62465974,YALE AVE N BETWEEN MERCER ST AND DEAD END 1,E,8,South Lake Union
34482,-122.32492277,47.61091012,MINOR AVE BETWEEN SPRING ST AND SENECA ST,NE,9,First Hill
34505,-122.33309119,47.62139739,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,W,13,South Lake Union
10874,-122.3404443,47.62196658,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,S,6,South Lake Union
79790,-122.32980982,47.62423318,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,9,South Lake Union
34306,-122.32500871,47.60835777,MARION ST BETWEEN TERRY AVE AND BOREN AVE,SE,6,First Hill
80553,-122.33233929,47.62317542,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,N,3,South Lake Union
35430,-122.32918411,47.60954538,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,SE,5,First Hill
35530,-122.33135135,47.61789756,STEWART ST BETWEEN MINOR AVE AND YALE AVE,SE,7,Denny Triangle
80545,-122.34042507,47.62328513,REPUBLICAN ST BETWEEN 8TH AVE N AND 9TH AVE N,N,5,South Lake Union
80745,-122.32480955,47.61151365,SENECA ST BETWEEN MINOR AVE AND SUMMIT AVE,NW,4,First Hill
31313,-122.33986607,47.62144373,9TH AVE N BETWEEN THOMAS ST AND HARRISON ST,W,4,South Lake Union
82014,-122.32036323,47.62194122,E HARRISON ST BETWEEN BROADWAY E AND 10TH AVE E,S,4,Capitol Hill
56073,-122.33914567,47.62212606,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,N,4,South Lake Union
79030,-122.33361665,47.61959484,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,9,South Lake Union
53126,-122.34147132,47.61637161,6TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,11,Denny Triangle
32129,-122.33592998,47.62386321,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,W,6,South Lake Union
55029,-122.3244191,47.60771806,COLUMBIA ST BETWEEN TERRY AVE AND BOREN AVE,NW,10,First Hill
77989,-122.3424091,47.63017123,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,W,5,South Lake Union
8242,-122.32786582,47.60573702,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,5,First Hill
12537,-122.34168168,47.62327882,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,6,South Lake Union
10869,-122.34169609,47.62213569,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,5,South Lake Union
54722,-122.32063959,47.6121046,BROADWAY BETWEEN HARVARD AVE AND E UNION ST,E,7,First Hill
10801,-122.33109893,47.62203842,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,N,5,South Lake Union
81114,-122.33663822,47.61816803,TERRY AVE BETWEEN LENORA ST AND DENNY WAY,NE,4,Denny Triangle
35429,-122.32922971,47.60968103,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,NW,6,First Hill
9473,-122.32098799,47.62050882,BROADWAY E BETWEEN E OLIVE WAY AND E THOMAS ST,W,4,Capitol Hill
9462,-122.32072453,47.61695112,BROADWAY BETWEEN XW E OLIVE ST AND E HOWELL ST,E,5,Capitol Hill
77229,-122.3405162,47.61632966,BLANCHARD ST BETWEEN 6TH AVE AND 7TH AVE,NW,4,Denny Triangle
24417,-122.31831508,47.61813722,11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,W,29,Capitol Hill
77990,-122.34219059,47.63011566,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,E,6,South Lake Union
9469,-122.32096913,47.61932425,BROADWAY E BETWEEN E DENNY WAY AND E OLIVE WAY,W,9,Capitol Hill
8609,-122.32579968,47.60658808,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,4,First Hill
10802,-122.33105357,47.62190148,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,S,6,South Lake Union
58194,-122.32630418,47.60977296,SPRING ST BETWEEN TERRY AVE AND BOREN AVE,SE,7,First Hill
12538,-122.34167861,47.62315819,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,4,South Lake Union
76434,-122.33966666,47.62261473,9TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,10,South Lake Union
58574,-122.33517116,47.62564061,VALLEY ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,S,7,South Lake Union
56357,-122.33782845,47.61976598,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,3,South Lake Union
54730,-122.32070714,47.61585834,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST,E,10,Capitol Hill
9474,-122.32077305,47.62050766,BROADWAY E BETWEEN E OLIVE WAY AND E THOMAS ST,E,10,Capitol Hill
58182,-122.32961798,47.60839012,SPRING ST BETWEEN 7TH AVE AND 8TH AVE,SE,4,First Hill
79882,-122.32559852,47.61163327,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,4,First Hill
12550,-122.3336516,47.62306687,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,4,South Lake Union
57549,-122.33182337,47.62370101,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,10,South Lake Union
35730,-122.33286034,47.61593642,TERRY AVE BETWEEN HOWELL ST AND STEWART ST,NE,5,Denny Triangle
79881,-122.32573646,47.61157561,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,8,First Hill
32125,-122.33595638,47.6226007,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,20,South Lake Union
24409,-122.31827889,47.61587315,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,W,22,Capitol Hill
33745,-122.33104118,47.61973548,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,N,9,South Lake Union
58402,-122.32261022,47.60497317,TERRY AVE BETWEEN TERRACE ST AND JEFFERSON ST,NE,8,First Hill
34305,-122.32507698,47.60843237,MARION ST BETWEEN TERRY AVE AND BOREN AVE,NW,5,First Hill
94612,-122.33049132,47.62923993,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,SE,23,South Lake Union
