,SourceElementKey,BlockfaceName,Latitude,Longitude
2964734,35197,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33651591,47.62326784
3300504,79790,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32980982,47.62423318
3221948,8406,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.34090264,47.62666319
3279331,57550,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33162048,47.62367967
3308229,13110,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33705498,47.6214455
3215378,13793,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33049346,47.62025648
3149044,78073,EASTLAKE AVE E BETWEEN REPUBLICAN ST AND MERCER ST,-122.32928164,47.62369838
3021328,56073,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33914567,47.62212606
3279275,12541,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33778176,47.62326711
3208957,33746,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,-122.33109105,47.61959829
3113781,94611,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,-122.33167587,47.62831225
3233790,35890,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,-122.33166834,47.62591864
3267717,80545,REPUBLICAN ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34042507,47.62328513
2995285,34885,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33181611,47.62251895
3266996,120102,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,-122.32938631,47.62823632
2546826,94677,FAIRVIEW NR AVE N BETWEEN ALOHA ST AND WARD ST,-122.33269229,47.62749792
3310187,11786,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33108562,47.6242189
3112223,13142,THOMAS ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.3297844,47.62076448
2546820,55377,DEXTER AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.34251847,47.62379307
3387028,53810,9TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.33965677,47.62387194
3221976,58833,WESTLAKE AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33857409,47.62145672
3345353,35198,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33653521,47.62313632
3257523,77986,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,-122.3422055,47.62844527
3237186,55638,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33418976,47.62139099
3412338,81242,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,-122.33666877,47.62564256
2563867,79042,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32987656,47.61960575
2491811,10165,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,-122.32936627,47.6273401
3148828,13105,TERRY AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33727531,47.62027821
3280758,55370,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,-122.3422468,47.61912951
3281070,77985,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,-122.34242449,47.62844616
3232284,76714,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34286858,47.62710533
3290594,76713,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34286784,47.62717661
3098672,130799,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33777132,47.6247452
3323463,120105,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,-122.32878566,47.629648
3126986,78069,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,-122.32925328,47.61913534
3241141,81246,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33348049,47.62587776
2809804,10801,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33109893,47.62203842
2997323,12538,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34167861,47.62315819
3253255,10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,-122.32935349,47.62599666
3357950,32122,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33576039,47.62028326
3343358,10873,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34041259,47.62212546
3300830,57874,REPUBLICAN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32979127,47.62308945
3294710,13789,YALE AVE N BETWEEN STEWART ST AND JOHN ST,-122.33048815,47.61922926
3360475,80554,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33234469,47.62306574
2672478,13261,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34289167,47.62631903
3252734,79041,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.3297911,47.61975161
3307676,55453,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,-122.32681868,47.63134595
3352189,79789,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.32982852,47.62432634
3346710,34506,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33288439,47.62139794
3126972,34881,PONTIUS AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33182921,47.62139227
2777428,34518,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.33247238,47.6264104
2643817,8405,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.34114567,47.6266943
3322364,33005,EASTLAKE AVE E BETWEEN STEWART ST AND THOMAS ST,-122.32926393,47.62021914
2638948,9393,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33595379,47.62142469
3225282,130802,MERCER NR ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33650821,47.62473843
3398978,11882,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33286288,47.61908923
3253216,10874,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.3404443,47.62196658
3330835,79026,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33909112,47.61963382
2824149,57549,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33182337,47.62370101
3147645,77989,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,-122.3424091,47.63017123
3276044,35881,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34168272,47.62632754
3108565,32129,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.33592998,47.62386321
3314679,94612,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,-122.33049132,47.62923993
3343184,81133,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33104579,47.62088727
3107270,76198,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,-122.34098397,47.62032487
2841783,32126,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33572918,47.62261492
3236590,81493,WESTLAKE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33858071,47.62263115
2650624,56350,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,-122.34299759,47.61964815
3226814,59038,YALE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.3303386,47.62254634
3107282,32910,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.34221033,47.62148098
3028569,32130,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.33573119,47.62387342
2531309,76197,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,-122.34118265,47.62032565
2771408,79030,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33361665,47.61959484
2518525,35733,TERRY AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33727883,47.61911578
3119723,8402,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.34093993,47.62390853
3275861,10869,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34169609,47.62213569
3314805,58449,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33643178,47.62093462
2545205,32125,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33595638,47.6226007
2605481,8626,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,-122.33958113,47.62609289
3329510,10802,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33105357,47.62190148
2576210,57198,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33290607,47.6237063
3315869,77994,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,-122.34218322,47.63096125
2964916,58829,WESTLAKE AVE N BETWEEN DENNY WAY AND JOHN ST,-122.3385976,47.61911756
3236509,56074,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33912682,47.6219615
3318118,35889,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,-122.33168043,47.62602813
3398729,13798,YALE AVE N BETWEEN MERCER ST AND DEAD END 1,-122.3304927,47.62465974
3291602,12545,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,-122.33509668,47.6232647
3347853,34890,PONTIUS AVE N BETWEEN MERCER ST AND DEAD END,-122.3316418,47.62451506
3345402,32909,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.34254292,47.62147136
2926715,59042,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33035437,47.62369826
2546104,13549,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33858807,47.62027929
3236800,54074,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,-122.33162869,47.62680437
3348765,35201,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33109516,47.62318987
2982200,55454,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,-122.32657593,47.63127461
3320546,58450,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33650374,47.62078412
3320528,57202,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,-122.33246437,47.62554339
3127238,58445,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33913076,47.62094236
3319007,79033,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,-122.33257278,47.61973707
2675360,34877,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,-122.33180157,47.62024096
3276606,8401,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.34116298,47.6239067
3402005,12685,ROY ST BETWEEN DEAD END AND EASTLAKE AVE E,-122.32969155,47.62515553
3358955,33517,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.3323618,47.62203391
2735746,13262,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34288677,47.62620934
2536429,31593,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34036244,47.62720712
2650270,35749,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33236774,47.62088111
2686021,32914,DEXTER AVE N BETWEEN LEE ST AND GALER ST,-122.34217596,47.63181807
3313006,53549,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,-122.34111554,47.62820088
2503471,33142,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33419318,47.61911853
2753850,34502,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33287778,47.62025858
3081238,58421,TERRY AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33726857,47.62262366
3040769,57197,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33310076,47.62371398
3318910,81134,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33105113,47.62075019
3346514,35745,THOMAS ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33776217,47.62093987
2693776,32121,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33596324,47.62027032
3331155,34509,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33309802,47.62256499
3258193,55374,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,-122.34222454,47.620302
3231460,56353,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34169801,47.61980198
3361183,55369,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,-122.34254683,47.61913275
3365758,56358,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.3378255,47.61963986
3005577,56349,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,-122.34299816,47.61980442
3133538,10054,DEXTER AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.34221647,47.62263094
3293340,134965,DEXTER AVE N BETWEEN PROSPECT ST AND HIGHLAND DR,-122.34219801,47.62928579
2607946,79786,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33237992,47.62421002
2554871,79034,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,-122.33261027,47.61959441
3347672,12549,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33362709,47.62318464
3010320,81130,THOMAS ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34170543,47.62080932
3230261,34878,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,-122.33157855,47.62024023
2533810,12550,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.3336516,47.62306687
2553096,78781,HARRISON ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34302665,47.62214055
3220385,58422,TERRY AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33702531,47.62261869
3252884,13134,THOMAS ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34042534,47.62080468
3324973,78705,HARRISON ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,-122.33513202,47.62209926
2565387,76718,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.3416596,47.6270675
2552670,77982,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST,-122.34220881,47.62670217
3253124,13109,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33727797,47.62144907
2459975,9394,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33575104,47.62142529
2622912,80553,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33233929,47.62317542
3230371,56357,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33782845,47.61976598
3230374,11785,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33106904,47.62432312
3343134,10797,HARRISON ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33364073,47.62205537
2870575,54073,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,-122.33160969,47.62691411
3325000,79029,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33362811,47.61973194
2694254,134962,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,-122.34221309,47.62759084
3304589,34501,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33308446,47.62023889
2976121,58446,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33915414,47.62080537
3178326,120107,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,-122.32853909,47.62961418
3302804,80550,REPUBLICAN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33914163,47.62315969
3355443,76717,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34165854,47.62720457
3202218,76202,8TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.3409512,47.62266064
3290873,94602,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,-122.33364771,47.6267583
2739138,11138,JOHN ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34052184,47.6196361
3302851,33518,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33237107,47.6219051
3132655,10870,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34169227,47.62197119
3227302,31313,9TH AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33986607,47.62144373
2934450,134961,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,-122.34243224,47.62757257
2982960,33745,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,-122.33104118,47.61973548
3344254,10157,EASTLAKE AVE E BETWEEN MERCER ST AND LAKEVIEW BLVD E,-122.32929908,47.62470623
2604658,55641,FAIRVIEW AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33443905,47.62261088
3391225,55373,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,-122.3425489,47.62030601
3096351,11782,MERCER SR ST BETWEEN TERRY AVE N AND BOREN AVE N,-122.33659908,47.62447169
3355419,53550,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,-122.34086055,47.62817888
3327587,56362,JOHN ST BETWEEN DEAD END AND BOREN AVE N,-122.33618907,47.61966361
3096323,59041,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,-122.33052061,47.62369625
2641694,81694,YALE AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33033703,47.62139895
3227813,76434,9TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33966666,47.62261473
3260808,13794,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33031902,47.62024049
3243130,34510,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.33288283,47.62251773
3260720,77990,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,-122.34219059,47.63011566
3093414,12537,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34168168,47.62327882
3326529,81118,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.33701541,47.62386337
3226268,57201,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,-122.33266709,47.62552645
3203806,76721,ALOHA ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.33007554,47.6269241
3316030,77993,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,-122.34240192,47.63099759
3096113,55637,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33444547,47.62143551
2498449,76201,8TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,-122.34117019,47.62265882
3260124,34505,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,-122.33309119,47.62139739
2842567,79025,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.3390879,47.61977637
2750978,12682,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33344568,47.62507204
3348981,32849,DENNY LOWER WAY BETWEEN STEWART ST AND EASTLAKE AVE,-122.32979337,47.61857744
3178358,130793,MERCER NR ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34044917,47.62467469
2532170,56354,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,-122.34166097,47.61964009
3206859,33146,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33419944,47.62024125
2684466,81117,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,-122.33723822,47.62389155
3372036,31310,9TH AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33968381,47.61912274
3288634,12546,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,-122.33511002,47.62313865
2821433,56082,HARRISON ST BETWEEN YALE AVE N AND EASTLAKE AVE E,-122.329809,47.62192424
3305956,35202,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,-122.33110643,47.62305276
2985510,11881,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33309008,47.61911051
3375489,78702,HARRISON ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33776987,47.62196471
3012019,76430,9TH AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33968445,47.62029437
3305592,35886,VALLEY ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33788753,47.62564186
3324568,81125,THOMAS ST BETWEEN AURORA AVE N AND DEXTER AVE N,-122.34303031,47.62096077
3117391,13550,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,-122.33833669,47.62027694
3362043,79778,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,-122.33917374,47.62446547
3406911,121340,MERCER ST BETWEEN MERCER SR ST AND MINOR AVE N,-122.33342324,47.62422099
3276598,58454,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33364461,47.62074999
3075106,10153,EASTLAKE AVE E BETWEEN THOMAS ST AND HARRISON ST,-122.32922659,47.6213762
3146065,11778,MERCER SR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.33783456,47.62446799
2610304,34386,MERCER SR ST BETWEEN 8TH AVE N AND 9TH AVE N,-122.34041685,47.62445789
3424435,13790,YALE AVE N BETWEEN STEWART ST AND JOHN ST,-122.3303422,47.61923507
2163087,58453,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,-122.33361805,47.62089482
3081555,79785,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33239874,47.62431963
408311,55449,EASTLAKE AVE E BETWEEN HARRISON ST AND REPUBLICAN ST,-122.32927427,47.62252079
352607,35750,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,-122.33231236,47.62075516
3307163,77265,BOREN AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33599288,47.61912646
3301976,12542,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,-122.3377827,47.62314648
2424349,58574,VALLEY ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,-122.33517116,47.62564061
1320666,81497,WESTLAKE AVE N BETWEEN VALLEY ST AND 9TH AVE N,-122.3391098,47.62621889
3188033,14601,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,-122.32724705,47.63047675
3493761,13138,THOMAS ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,-122.33510817,47.62078405
2495190,77266,BOREN AVE N BETWEEN DENNY WAY AND JOHN ST,-122.33574965,47.61912006
