,Latitude,Longitude,BlockfaceName,SourceElementKey
0,-122.33650821,47.62473843,MERCER NR ST BETWEEN TERRY AVE N AND BOREN AVE N,130802
1,-122.33234469,47.62306574,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,80554
2,-122.32922659,47.6213762,EASTLAKE AVE E BETWEEN THOMAS ST AND HARRISON ST,10153
3,-122.32980982,47.62423318,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,79790
4,-122.33168043,47.62602813,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,35889
5,-122.33105357,47.62190148,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,10802
7,-122.32979337,47.61857744,DENNY LOWER WAY BETWEEN STEWART ST AND EASTLAKE AVE,32849
8,-122.33914163,47.62315969,REPUBLICAN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,80550
10,-122.33239874,47.62431963,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,79785
13,-122.33618907,47.61966361,JOHN ST BETWEEN DEAD END AND BOREN AVE N,56362
14,-122.34242449,47.62844616,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,77985
15,-122.33782845,47.61976598,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,56357
16,-122.33576039,47.62028326,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,32122
19,-122.3304927,47.62465974,YALE AVE N BETWEEN MERCER ST AND DEAD END 1,13798
20,-122.34254683,47.61913275,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,55369
22,-122.32929908,47.62470623,EASTLAKE AVE E BETWEEN MERCER ST AND LAKEVIEW BLVD E,10157
23,-122.34221033,47.62148098,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,32910
24,-122.34169801,47.61980198,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,56353
26,-122.32925328,47.61913534,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,78069
27,-122.3416596,47.6270675,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,76718
29,-122.34217596,47.63181807,DEXTER AVE N BETWEEN LEE ST AND GALER ST,32914
30,-122.33106904,47.62432312,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,11785
31,-122.34219059,47.63011566,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,77990
32,-122.32938631,47.62823632,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,120102
34,-122.33257278,47.61973707,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,79033
39,-122.33575104,47.62142529,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,9394
42,-122.34303031,47.62096077,THOMAS ST BETWEEN AURORA AVE N AND DEXTER AVE N,81125
44,-122.34221309,47.62759084,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,134962
45,-122.33049132,47.62923993,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,94612
46,-122.33776987,47.62196471,HARRISON ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,78702
48,-122.32936627,47.6273401,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,10165
49,-122.33237107,47.6219051,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,33518
50,-122.33104118,47.61973548,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,33745
55,-122.3336516,47.62306687,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,12550
57,-122.34299816,47.61980442,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,56349
59,-122.34219801,47.62928579,DEXTER AVE N BETWEEN PROSPECT ST AND HIGHLAND DR,134965
61,-122.33653521,47.62313632,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,35198
63,-122.33362811,47.61973194,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,79029
66,-122.33509668,47.6232647,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,12545
68,-122.33705498,47.6214455,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,13110
71,-122.3323618,47.62203391,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,33517
73,-122.33917374,47.62446547,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,79778
74,-122.34170543,47.62080932,THOMAS ST BETWEEN DEXTER AVE N AND 8TH AVE N,81130
75,-122.33108562,47.6242189,MERCER ST BETWEEN PONTIUS AVE N AND YALE AVE N,11786
76,-122.34243224,47.62757257,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,134961
77,-122.34166097,47.61964009,JOHN ST BETWEEN DEXTER AVE N AND 8TH AVE N,56354
84,-122.34042507,47.62328513,REPUBLICAN ST BETWEEN 8TH AVE N AND 9TH AVE N,80545
88,-122.33596324,47.62027032,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,32121
92,-122.33777132,47.6247452,MERCER NR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,130799
94,-122.33364073,47.62205537,HARRISON ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,10797
96,-122.3422468,47.61912951,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,55370
97,-122.32935349,47.62599666,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,10161
99,-122.33309802,47.62256499,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,34509
100,-122.33287778,47.62025858,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,34502
101,-122.34041685,47.62445789,MERCER SR ST BETWEEN 8TH AVE N AND 9TH AVE N,34386
102,-122.33701541,47.62386337,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,81118
103,-122.33913076,47.62094236,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,58445
105,-122.33286288,47.61908923,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,11882
106,-122.33727797,47.62144907,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,13109
108,-122.33776217,47.62093987,THOMAS ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,35745
110,-122.33783456,47.62446799,MERCER SR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,11778
111,-122.33364461,47.62074999,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,58454
112,-122.32987656,47.61960575,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,79042
114,-122.33958113,47.62609289,9TH AVE N BETWEEN ROY ST AND WESTLAKE AVE N,8626
117,-122.33348049,47.62587776,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,81246
119,-122.33237992,47.62421002,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,79786
121,-122.32878566,47.629648,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,120105
122,-122.32927427,47.62252079,EASTLAKE AVE E BETWEEN HARRISON ST AND REPUBLICAN ST,55449
123,-122.33052061,47.62369625,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,59041
126,-122.32928164,47.62369838,EASTLAKE AVE E BETWEEN REPUBLICAN ST AND MERCER ST,78073
127,-122.33247238,47.6264104,MINOR AVE N BETWEEN VALLEY ST AND ALOHA ST,34518
128,-122.34288677,47.62620934,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,13262
133,-122.33702531,47.62261869,TERRY AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,58422
136,-122.3385976,47.61911756,WESTLAKE AVE N BETWEEN DENNY WAY AND JOHN ST,58829
137,-122.33595379,47.62142469,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,9393
141,-122.33261027,47.61959441,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,79034
146,-122.33858807,47.62027929,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,13549
147,-122.33966666,47.62261473,9TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,76434
152,-122.33180157,47.62024096,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,34877
153,-122.34052184,47.6196361,JOHN ST BETWEEN 8TH AVE N AND 9TH AVE N,11138
154,-122.33912682,47.6219615,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,56074
158,-122.3424091,47.63017123,DEXTER AVE N BETWEEN HIGHLAND DR AND COMSTOCK ST,77989
159,-122.33266709,47.62552645,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,57201
160,-122.33308446,47.62023889,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,34501
161,-122.33833669,47.62027694,WESTLAKE AVE N BETWEEN JOHN ST AND THOMAS ST,13550
162,-122.33109105,47.61959829,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,33746
164,-122.34098397,47.62032487,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,76198
166,-122.34289167,47.62631903,VALLEY ST BETWEEN AURORA AVE N AND DEXTER AVE N,13261
168,-122.33162048,47.62367967,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,57550
169,-122.33109516,47.62318987,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,35201
173,-122.34041259,47.62212546,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,10873
177,-122.32982852,47.62432634,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,79789
179,-122.33269229,47.62749792,FAIRVIEW NR AVE N BETWEEN ALOHA ST AND WARD ST,94677
181,-122.33246437,47.62554339,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,57202
182,-122.33288439,47.62139794,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,34506
187,-122.33342324,47.62422099,MERCER ST BETWEEN MERCER SR ST AND MINOR AVE N,121340
188,-122.33572918,47.62261492,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,32126
189,-122.33290607,47.6237063,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,57198
192,-122.33033703,47.62139895,YALE AVE N BETWEEN THOMAS ST AND HARRISON ST,81694
195,-122.3404443,47.62196658,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,10874
198,-122.33007554,47.6269241,ALOHA ST BETWEEN YALE AVE N AND EASTLAKE AVE E,76721
205,-122.32969155,47.62515553,ROY ST BETWEEN DEAD END AND EASTLAKE AVE E,12685
206,-122.3422055,47.62844527,DEXTER AVE N BETWEEN WARD ST AND PROSPECT ST,77986
207,-122.33659908,47.62447169,MERCER SR ST BETWEEN TERRY AVE N AND BOREN AVE N,11782
212,-122.33344568,47.62507204,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,12682
217,-122.33049346,47.62025648,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,13793
218,-122.33162869,47.62680437,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,54074
220,-122.33513202,47.62209926,HARRISON ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,78705
222,-122.33965677,47.62387194,9TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,53810
225,-122.33231236,47.62075516,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,35750
228,-122.329809,47.62192424,HARRISON ST BETWEEN YALE AVE N AND EASTLAKE AVE E,56082
233,-122.34218322,47.63096125,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,77994
234,-122.33182921,47.62139227,PONTIUS AVE N BETWEEN THOMAS ST AND HARRISON ST,34881
235,-122.34286784,47.62717661,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,76713
240,-122.33310076,47.62371398,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,57197
241,-122.33157855,47.62024023,PONTIUS AVE N BETWEEN JOHN E ST AND THOMAS ST,34878
245,-122.33726857,47.62262366,TERRY AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,58421
246,-122.34117019,47.62265882,8TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,76201
247,-122.33166834,47.62591864,VALLEY ST BETWEEN MINOR AVE N AND YALE AVE N,35890
248,-122.34086055,47.62817888,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,53550
251,-122.33160969,47.62691411,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,54073
253,-122.33361665,47.61959484,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,79030
255,-122.33233929,47.62317542,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,80553
261,-122.33104579,47.62088727,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,81133
262,-122.34286858,47.62710533,ALOHA ST BETWEEN AURORA AVE N AND DEXTER AVE N,76714
263,-122.34042534,47.62080468,THOMAS ST BETWEEN 8TH AVE N AND 9TH AVE N,13134
265,-122.34254292,47.62147136,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,32909
279,-122.33968445,47.62029437,9TH AVE N BETWEEN JOHN ST AND THOMAS ST,76430
281,-122.32979127,47.62308945,REPUBLICAN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,57874
283,-122.34222454,47.620302,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,55374
288,-122.33362709,47.62318464,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,12549
291,-122.33909112,47.61963382,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,79026
299,-122.34044917,47.62467469,MERCER NR ST BETWEEN 8TH AVE N AND 9TH AVE N,130793
301,-122.33309008,47.61911051,MINOR AVE N BETWEEN DENNY WAY AND JOHN ST,11881
304,-122.33167587,47.62831225,FAIRVIEW NR AVE N BETWEEN WARD ST AND YALE AVE N,94611
316,-122.33592998,47.62386321,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,32129
323,-122.34251847,47.62379307,DEXTER AVE N BETWEEN REPUBLICAN ST AND MERCER ST,55377
326,-122.34302665,47.62214055,HARRISON ST BETWEEN AURORA AVE N AND DEXTER AVE N,78781
327,-122.33778176,47.62326711,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,12541
346,-122.3378255,47.61963986,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,56358
364,-122.33914567,47.62212606,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,56073
366,-122.33419318,47.61911853,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST,33142
371,-122.33643178,47.62093462,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,58449
376,-122.33035437,47.62369826,YALE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,59042
379,-122.33511002,47.62313865,REPUBLICAN ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,12546
380,-122.34240192,47.63099759,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,77993
384,-122.34116298,47.6239067,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,8401
385,-122.34168272,47.62632754,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,35881
397,-122.3316418,47.62451506,PONTIUS AVE N BETWEEN MERCER ST AND DEAD END,34890
401,-122.33443905,47.62261088,FAIRVIEW AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,55641
406,-122.32681868,47.63134595,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,55453
439,-122.34090264,47.62666319,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,8406
440,-122.33048815,47.61922926,YALE AVE N BETWEEN STEWART ST AND JOHN ST,13789
455,-122.33858071,47.62263115,WESTLAKE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,81493
475,-122.32926393,47.62021914,EASTLAKE AVE E BETWEEN STEWART ST AND THOMAS ST,33005
476,-122.33309119,47.62139739,MINOR AVE N BETWEEN THOMAS ST AND HARRISON ST,34505
484,-122.33236774,47.62088111,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,35749
497,-122.34093993,47.62390853,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,8402
502,-122.3390879,47.61977637,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,79025
515,-122.32853909,47.62961418,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,120107
522,-122.34169609,47.62213569,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,10869
529,-122.33595638,47.6226007,BOREN AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,32125
530,-122.33857409,47.62145672,WESTLAKE AVE N BETWEEN THOMAS ST AND HARRISON ST,58833
532,-122.33986607,47.62144373,9TH AVE N BETWEEN THOMAS ST AND HARRISON ST,31313
561,-122.33109893,47.62203842,HARRISON ST BETWEEN PONTIUS AVE N AND YALE AVE N,10801
566,-122.33723822,47.62389155,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,81117
573,-122.3303386,47.62254634,YALE AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,59038
580,-122.34169227,47.62197119,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,10870
592,-122.33361805,47.62089482,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,58453
658,-122.33666877,47.62564256,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD,81242
684,-122.34221647,47.62263094,DEXTER AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,10054
693,-122.3409512,47.62266064,8TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,76202
696,-122.33364771,47.6267583,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,94602
698,-122.33182337,47.62370101,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,57549
699,-122.34118265,47.62032565,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,76197
701,-122.33288283,47.62251773,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,34510
705,-122.3297911,47.61975161,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,79041
721,-122.33915414,47.62080537,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,58446
763,-122.33105113,47.62075019,THOMAS ST BETWEEN PONTIUS AVE N AND YALE AVE N,81134
788,-122.33727531,47.62027821,TERRY AVE N BETWEEN JOHN ST AND THOMAS ST,13105
847,-122.33573119,47.62387342,BOREN AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,32130
882,-122.33110643,47.62305276,REPUBLICAN ST BETWEEN PONTIUS AVE N AND YALE AVE N,35202
896,-122.33031902,47.62024049,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,13794
943,-122.3303422,47.61923507,YALE AVE N BETWEEN STEWART ST AND JOHN ST,13790
952,-122.32657593,47.63127461,EASTLAKE AVE E BETWEEN E NELSON PL AND FAIRVIEW AVE N,55454
973,-122.34167861,47.62315819,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,12538
975,-122.33650374,47.62078412,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,58450
984,-122.33418976,47.62139099,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,55638
989,-122.34220881,47.62670217,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST,77982
1012,-122.33788753,47.62564186,VALLEY ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,35886
1055,-122.33968381,47.61912274,9TH AVE N BETWEEN DENNY WAY AND JOHN ST,31310
1104,-122.33727883,47.61911578,TERRY AVE N BETWEEN DENNY WAY AND JOHN ST,35733
1110,-122.34036244,47.62720712,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,31593
1178,-122.34299759,47.61964815,JOHN ST BETWEEN 7TH NB AVE N AND DEXTER AVE N,56350
1273,-122.34168168,47.62327882,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,12537
1376,-122.3425489,47.62030601,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,55373
1643,-122.34111554,47.62820088,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,53549
1689,-122.33181611,47.62251895,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,34885
1715,-122.34114567,47.6266943,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,8405
1759,-122.34165854,47.62720457,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,76717
1829,-122.33419944,47.62024125,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,33146
1888,-122.32724705,47.63047675,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,14601
1974,-122.33599288,47.61912646,BOREN AVE N BETWEEN DENNY WAY AND JOHN ST,77265
2031,-122.3391098,47.62621889,WESTLAKE AVE N BETWEEN VALLEY ST AND 9TH AVE N,81497
2080,-122.33517116,47.62564061,VALLEY ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,58574
2123,-122.3377827,47.62314648,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,12542
2362,-122.33651591,47.62326784,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,35197
3558,-122.33510817,47.62078405,THOMAS ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,13138
3862,-122.3297844,47.62076448,THOMAS ST BETWEEN YALE AVE N AND EASTLAKE AVE E,13142
5000,-122.33444547,47.62143551,FAIRVIEW AVE N BETWEEN THOMAS ST AND HARRISON ST,55637
128890,-122.33574965,47.61912006,BOREN AVE N BETWEEN DENNY WAY AND JOHN ST,77266
